id,Ofiicial Account Name,Title,News Url,Image Url,Report Content,label
0,朝阳实拍,范冰冰出轨被偷拍？这才是真相！,http://mp.weixin.qq.com/s?__biz=MzI1NzIzNDkxNQ==&mid=2247491253&idx=6&sn=31897b03800b6e2e1578238a2778a4f8&chksm=ea1bdc39dd6c552fbfa7324b5efe07db615bc0347fc6022705848a5bbdd581eefff24ceed6f9#rd,http://mmbiz.qpic.cn/mmbiz_jpg/XUUcJo9yhYRlbztPoicWPnfIb34DJaB202DYynz4GzblGoI2BAttSGh96ODbN9xxwvuLKbMbMxQFr9YibZ6P2Ojw/0?wx_fmt=jpeg,发布误导信息,1
1,文刊,马容竟然去了非诚匆扰，一出场24盏灯全灭，孟爷爷都笑了,http://mp.weixin.qq.com/s?__biz=MzUxODE2MDMwMQ==&mid=2247490907&idx=2&sn=73264c0e17451cf7c4822b365b44ee8f&chksm=f98c7799cefbfe8f22834920ee923c880de13b409ca5c600c9ebb8ed6784223b144e1215e607#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/X3Cv4sIxE7BiblwicicdJiaC2cVQsLOrQS1pDa7IDtsSqeWT0EibQQDJOTjdiaHcgacG792B1yyyViarNygks1qibV6cOg/0?wx_fmt=jpeg,标题与内容不符##骗点击##欺骗阅读者。,1
2,掌上武冈,突发：武冈西站木材市场燃起大火，浓烟滚滚火势巨大，现场...,http://mp.weixin.qq.com/s?__biz=MzAwMjM0NzMxOA==&mid=2651906059&idx=1&sn=ab97c741404c4dd12831b0c0cd89eba1&chksm=812f9852b6581144d03be06289ed388c2b42718ad5223a7929508f763823d9b959412b52c07a#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/fnLwjhfLVGZQK1PHTMojGWqhViawJXCvBdiasLPUhSQRQLbe9iciatQ0KGQUA63aQicy9SDLLecymGJQR7kq0XffeZQ/0?wx_fmt=jpeg,报道内容不实，描述事实也不食,0
3,时事内幕爆料,辞职交警!爆`出贪 污惊人内幕！99%车主都不知道！速看,http://mp.weixin.qq.com/s?__biz=MzU3NjIzNTI5OA==&mid=2247483694&idx=1&sn=3ab3e76d5b9195e0a4ad499c688bc7bb&chksm=fd17b363ca603a752906a9187b5d76d82ed9ae29163ae32d6e3d31cff6c81305e7fc6bc6abd9#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/hYnJtOcFjEhV0eBeUGWDTOCyLbHb2iaic3SPuE9ibUaUnvwWydDudEuXWpYypJ7TiarUcnrfSgJILDaPqNibI1wKxJg/0?wx_fmt=jpeg,谣言！##不实,0
4,大参考,美国两块让国人汗颜的告示牌，告诉我们离文明有多远,http://mp.weixin.qq.com/s?__biz=MzA5MDE4NTY4Mw==&mid=2649956399&idx=5&sn=33881418b1c53174572a78f80a8edb4e&chksm=88080a93bf7f83855ea8f516ef568217d4adbc33c5ec59d6a2a4a01ef58229e453b6c7278076#rd,http://mmbiz.qpic.cn/mmbiz_jpg/T0OtTToYoIR77vLmNpEIZR4oGo02syLdw4MeLh2wVxrelS7YHibBCnibmAHm6xPLDCRCicG64fvmcD0GYPpQjFPYA/0?wx_fmt=jpeg,虚假宣传##以偏概全,0
5,扒爷有料,周杰伦私生子？于正签约劈腿家暴男艺人？陈学冬粉撕黄景瑜？z女星的厉害公关？孟美歧粉丝被群嘲？,http://mp.weixin.qq.com/s?__biz=MzU0NjE1NjIwNA==&mid=2247487806&idx=1&sn=9dcf9671ed552a10ee5633e3dcb5eaee&chksm=fb60aafdcc1723ebe5e54bac43b53931773e2722db362b2f5541e014041ec7b82d7ce087672b#rd,http://mmbiz.qpic.cn/mmbiz_jpg/aunVJHLBzgx998gG9YibgV3KFL76GFlu5ablD22BHS1WPMNvGvj5CtshL5SDpiaZoibcdfYGKibiaaxsaIibwhO56f0Q/0?wx_fmt=jpeg,编造赵薇虚假新闻##周杰伦私生子信息不实,1
6,谈育阁,"40分25板! NBA球探真是名不虚传, 丁彦雨航彻底沦为三号球星",http://mp.weixin.qq.com/s?__biz=MzU5ODUwNTgwNw==&mid=2247484979&idx=7&sn=c7e8bc0c1c63c131d8fb9f4e6aa8d7bc&chksm=fe426613c935ef0546fb13b6ed10a8034572f69e76546c7080db152396525da7244a3bc75e19#rd,http://mmbiz.qpic.cn/mmbiz_jpg/4KCfxJRZFJakHphQnHVqd2eiavlj9nQn6yibWRQCS317jVicl7qtvogTR46wNWjCMQLHmAypVc8P542sBGq42CoTg/0?wx_fmt=jpeg,标题党,0
7,第一书评馆,台湾提出统一条件：一国两区，国名为“中华共和国”,http://mp.weixin.qq.com/s?__biz=MzA3MDc5NDE1Ng==&mid=2649833317&idx=2&sn=072d6da59f3900596f3ddf5fed4e33ab&chksm=8732f1a6b04578b0b704d031cbb26583a7d5c94a9edd155bb69275968ca5130aac7f713ed2d2#rd,http://mmbiz.qpic.cn/mmbiz_jpg/4KOjcpwFzsa12XKmGYHKPEgbM3hP3DWBSYSoNphjUlwhu5yqNBnWXichkTpXyMicnyDFrGNq2umLx2gLewKxWRaA/0?wx_fmt=jpeg,造谣 ##政治类不实信息##不实##政治##台湾提出统一同意条件是假新闻##完全假设有意识吗？##诱导##国台办何时回复过一国两区？##一派胡言##引战台湾问题##。##政治类不实信息 ##不实消息，涉统一问题，请引起重视。##不实##与宪法违背##   ##政治谣言！！！~~##假消息，谣言，旧闻杂揉。##误导吃瓜群众，这个是2012年提出的，该文章曲解和胡编乱造内容##台湾没有提出统一##胡说八道##文章内容误导群众对统一的认识，与一国两治的方针严重不符。##台湾问题##中秋节提醒您##一派胡言。##政治造谣##无中生有瞎编乱造的文章##误导人民群众##煽动恶斗！！！！！！##这么假还在传##台湾自古以来就是我国不可分离的一部分，这个标题一看就是煽动国家分离，我要投诉##什么玩意##，，，##有分裂祖国的暗示##没有根据##这种文章为什么不封，鼓动中国分裂，是西方和美国的在破坏中国的统一，瓦解共产党的领导。,1
8,热门爆笑坊,宋小宝离开了我们，令人心酸，全场落泪!!!,http://mp.weixin.qq.com/s?__biz=MzUxODMzMTg4MQ==&mid=2247492944&idx=1&sn=3a99398bbf2ceeca923e9b024c015747&chksm=f98829d6ceffa0c02a789d66b6ecc153f40f67886d3210271987ee17eb94d97f510233e0455f#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/Qc39m5icTl0icJdRoBZmFwETjibj2hCI7oroomXYYmzA7IjPFkbM8PR3uWXkHQ3XslYDmO19Q2cr3RqWJorxdhz5A/0?wx_fmt=jpeg,标题党骗子,1
9,圈圈说娱,张艺兴；古力娜扎；贾乃亮；杨丞琳；钟丽缇,http://mp.weixin.qq.com/s?__biz=MzI3NjM0NDMxNQ==&mid=2247492119&idx=1&sn=e5a61759b2ee90bc21c056b76bc5dc70&chksm=eb745e83dc03d795ba58f388872b3e38a7dabd5a40a499cec1d7194025a3e04b7eb954376dd0#rd,http://mmbiz.qpic.cn/mmbiz_jpg/ZdLDY0qMBrPAXnBPCUeJlJib4T78AmYqQoV5tEhgnCekeoSarM5Kv3gRgOsF8e2KiaXoRicicFDqWI5USnrOMB1hlg/0?wx_fmt=jpeg,不实信息##描述不符##杨丞琳从未有过耍大牌，关于这件事她本人也已经做出澄清了。作者未了解清楚事实的情况下不应该随意表看法。##假的爆料 誤導人##诋毁名人明星##对明星艺人的不实信息披露 造成负面影响##中国台湾艺人杨丞琳并没有文中所述“情商堪忧”、“经常耍大牌”等行为现象。杨丞琳本人在面对媒体大众时，说话非常有礼貌，思路清晰，立场客观，而且语言幽默，善于化解尴尬。再者，杨丞琳待人真诚有礼，受到合作过的工作人员一致好评，耍大牌这等谣言不知为何要恶意传播。希望编者谨言慎行，不要影响公众人物的正面形象，谢谢！,0
10,柚子说球,一年后退役！韦德作出最后决定终老热火！,http://mp.weixin.qq.com/s?__biz=MzIxOTI5NTk5MQ==&mid=2247492248&idx=1&sn=13e369342c2b2f6600b72864edc20ee2&chksm=97dfdb00a0a8521605ad4779355fe8ed29e5c7f02716b8a0b9e1a0ac22eb1f1771211ccc4c0b#rd,http://mmbiz.qpic.cn/mmbiz_jpg/6sMnWYZVWaR85gdTA7taVQVdOHoicTjpqxkx2RY0FBISGXkygI9vbZ7WzicQN2UHL7XO84guLvianAKVribliak2fKQ/0?wx_fmt=jpeg,未经证实散步韦德退役谣言,0
11,泗县城市网,著名主持人朱军被爆性骚扰实习女生！,http://mp.weixin.qq.com/s?__biz=MzIxMzAyNzU5NQ==&mid=2651681957&idx=6&sn=47b91caa20a1868f82e9aad678c1fe88&chksm=8c44cac1bb3343d729b263b90c5519dd1ebaf8ff3a7645b7c0ff7f2797b228baf6625363bdb3#rd,http://mmbiz.qpic.cn/mmbiz_jpg/qtGJibt7gqfPS4VLnCh32rL0nv6zbpS4uyLDKom2scribXwpAEwECxy1OQpcUwlNzia9d0RM0PJ7nCQ5cYxZ2zZnQ/0?wx_fmt=jpeg,未经证实,1
12,每日搜索,演讲 | 土耳其总统对美宣战演讲：我们要为战争而战！审判美国！,http://mp.weixin.qq.com/s?__biz=MzU4NDQ5MjIwNw==&mid=2247484550&idx=1&sn=4249dfdca2fdf0620ab84ff4d62c6cb5&chksm=fd99b146caee3850b808353370003234213fe2142131af93330faa833179feb9e4e350923308#rd,http://mmbiz.qpic.cn/mmbiz_jpg/5ZuwmNrqlibOtXrHPswiaEn3TZhciaNQ20CYibK0cEy6YG2iceO5ia1XYNRSpTWtx4MVbzFRaZ0XtqDaxDWCmWwHuZwQ/0?wx_fmt=jpeg,演讲英文版没有，也没有演讲视频，作者意淫写的这些吧,0
13,人生语言,"63岁张国立又出大事, 已无法安享晚年, 网友: 苦命男人",http://mp.weixin.qq.com/s?__biz=MzUyODY2NjY3Nw==&mid=2247485580&idx=5&sn=a6f7a0cf1643b6f5f8bd2f3ff1dcc862&chksm=fa6d91d6cd1a18c027ed71d2bf9c5d25f54e1c04a522ae2f42dc497b9755256580d7cae29dbf#rd,http://mmbiz.qpic.cn/mmbiz_jpg/oFr5tcMwKYKVODebtbrHiauQ0ATbia5ADh8OyypKbZXyThmuzQYVasFX4a6Za8fxiak0WfYZkb3xCofVIngibIFhhA/0?wx_fmt=jpeg,标题党,1
14,枪稿,《武动乾坤》：杨洋，一个油障青年的诞生 | 王大根专栏,http://mp.weixin.qq.com/s?__biz=MzI4NzY4Nzg5Nw==&mid=2247490074&idx=1&sn=f7e4fc7d7c5cdc94155ce99ca9285580&chksm=ebc88facdcbf06baedc0178df92891d8b7aef49094493969285a366a02f1e28c549ff2919369#rd,http://mmbiz.qpic.cn/mmbiz_jpg/NFrBBsKPw8pbRvZAVZUPv2oQjEFyQHB11Ixia3vg1ghtey7GbkX7TyAvxHyY7xogNPlCtFo19FKg0sKYtdJ0VJQ/0?wx_fmt=jpeg,人身攻击##诽谤他人##内容不实，造谣传谣##不实标题，恶意内容##恶意引导 断章取义 恶意满满 太负能量##恶意诽谤##恶意引导舆论##标题内容低俗##垃圾营销！！##杨洋那个狗东西  这个标题涉嫌侮辱人，侵犯人名誉权##评价一个公众人物，可以这么随心所欲吗？##信息不实##用词低俗，影响社会风气；传播不实信息，影响他人名誉##人身攻击辱骂##侮辱他人##不实报道，侵害艺人名誉##恶意诋毁辱骂他人##恶意污蔑他人，说脏话，网络暴力,0
15,每日情报中心,甘肃幼儿园针扎幼儿，一位18岁美女幼师被判死刑！,http://mp.weixin.qq.com/s?__biz=MzUzNjg2NDc2MA==&mid=2247484177&idx=1&sn=8f048cdec6a5726ed0f52f1633f13854&chksm=faeef186cd99789031b7791525795bf0efbf2988256c42a7dbd669eedcded668f7eacbca4686#rd,http://mmbiz.qpic.cn/mmbiz_jpg/cacpiaLB4pvlw54QecCK5KVLPiciaW1WviaZXpo5AAmPs3c0qUy3ibicAtds5NV5Yqicfic8ameCstttgbqLZWu86QAiayw/0?wx_fmt=jpeg,死刑？##标题党##标题不实，误导公众##标题党##内容失真##扎针事件还在调查中，并没有18岁美女判死刑,1
16,女神生活街,郑恺新恋情曝光，将和他携手退出跑男？网友：迪丽热巴暗讽看真相,http://mp.weixin.qq.com/s?__biz=MzIyODUzNjk5MA==&mid=2247485300&idx=3&sn=8af5d38a6186296b36a33aa4f2a562e5&chksm=e8512085df26a993ea02b058dfd1ca7af5cf9c79a08c2995b4ec641d4c2cfe7f5288deabda64#rd,http://mmbiz.qpic.cn/mmbiz_jpg/ayhEAOFHVILicQDPgyYSKCWibQ4SGiauFHdhapeftgHsOnRoKNpa9fDzuyt8XkZYIRGacr5nf7Y8VNzYGicye4GrWA/0?wx_fmt=jpeg,毫无根据，言语混乱,1
17,房里房外,台前县吴坝镇黄河滩区迁建成果初现，街亮了，家新了，腰包鼓了，昔日穷滩区，今日新城镇，国家扶贫攻坚与黄河迁建给农村带来新活力！,http://mp.weixin.qq.com/s?__biz=MzA4NjQ1OTY0OA==&mid=2650363475&idx=1&sn=0a4aaa58d247c59fefe8abf227af4e5a&chksm=87c5a23cb0b22b2a047ef71f0efc910d72e5e678460a307c38dfa83df0434f2d27f3c2825bf7#rd,http://mmbiz.qpic.cn/mmbiz_jpg/92LsX90lExTEwuOVFcgV7l88pFgrM8iaMLI8FHXs5eCHiaL6b4kkytxOicwAnXVfeepMoVydYhOTvMGV20weSbutw/0?wx_fmt=jpeg,我们不是滩区，为什么拆我们的房子。老百姓越来越穷，搬不起。##这个发表文章记者认识他受贿，他自己的母亲现在都没地方住，住着车库。国家政策搬迁把老人们搬到车库，车库是人住的地方吗？你们来看看这个楼下的车库都住满老人们了。这篇文章写的不属实。##此文章描述的不属实，我们后高村高龄老人住进了低矮的车库，补偿是分散安置我们自行解决住所，没人28400按照周边房地产价格我们都得自己搭钱住楼房，没有真正脱贫而是越搬越贫！望查实！##作者描述不实，##与事实不符。百姓越搬越穷了，不是腰包鼓了。应该写写真实的民生，不是糊说八道。,0
18,海门大神,@所有海门人！海门各乡镇微信群开通了！现邀请您来一起噶闹忙咯！！！,http://mp.weixin.qq.com/s?__biz=MzU5MzA0NTQzNw==&mid=2247486249&idx=5&sn=29bebd7e541d5b92ba2760f55fbbf1d8&chksm=fe1739fbc960b0edb7e609b18de98fdf26a04e46dc19dd335b942b70ba1f89edbb6a642c64e1#rd,http://mmbiz.qpic.cn/mmbiz_jpg/ZibsiaicPwOia7ias4ZWkBFDGPcpoRecFLfvuGhjSkFwjlSD0Y5z5nhOcWhxdpzRw1cpkiaf4YRm89kpTBU0QsV5BbFg/0?wx_fmt=jpeg,各群都是无聊退应该取缔,0
19,国政要闻网,央视：我让你查环保！谁让你乱关厂了？,http://mp.weixin.qq.com/s?__biz=MzUyMjkwNzE3NQ==&mid=2247483705&idx=1&sn=6639a573c43916a32f06a261a9011fad&chksm=f9c5fa71ceb27367720ba7508aef80bee8998da915cbcb14b99b6a5f4b6d14eedaefa9137011#rd,https://mmbiz.qlogo.cn/mmbiz_jpg/vCQSbjdxmalnloeWz5ykMkqiarHtSV1ia8U5k8gGT9PuFuXS9icwkVuDESNe38dr3kOaJ1Ml1XIK0ykv4B4msoJzw/0?wx_fmt=jpeg,原才料价格瀑长 农民工没事做,0
20,参考消息,德媒：被中国打中“七寸” 美国农民对贸易争端失去耐心,http://mp.weixin.qq.com/s?__biz=MjM5MzA0MTg2MA==&mid=2653849395&idx=1&sn=01e379d201ddb7ebc4dd849eb047bcfd&chksm=bd473b988a30b28e4c461ebee0add72896e043b389bcae22647d33902db10da7bce05d1dc052#rd,http://mmbiz.qpic.cn/mmbiz_jpg/F1hLEK71icuAQkkd5oXYbicu63P2xpa4P63xc9M2MwYDc0icYspopEeKAP3j0Pq7Bt7bNViaGlwGedM5nSEQ7cb5gg/0?wx_fmt=jpeg,你没有你吹牛逼那么强大,0
21,萧山咸话III,滴滴只是一把刀 | 邓大狗,http://mp.weixin.qq.com/s?__biz=MzU0Nzg0ODIyNA==&mid=2247483808&idx=1&sn=c3abb88739f2d3ed33c49335f857b5dd&chksm=fb4968efcc3ee1f97223bd850495eebf89a04a8c9e70c7f7b347590ebf4831e0a313cdacff05#rd,http://mmbiz.qpic.cn/mmbiz_jpg/sibJK1zDJQuibL8a2teemdArPCQjIa3OyQD0nsATw9jDIWPwCic5o40OHFRvia42HS130S1EGZ7w01wOfiavUVpYHQQ/0?wx_fmt=jpeg,内容失实，完全就是一种对他人的经济条件环境的歧视,0
22,爱临汾,忻州中西医结合医院造假大量骗取医保资金,http://mp.weixin.qq.com/s?__biz=MzU0MTcyMjg4MQ==&mid=2247483706&idx=1&sn=f6a5b91b52f1f574b2dbf2de7d6f2501&chksm=fb24d154cc5358428792b80074842eb9987c26feaf49ae83781235f36f115d3a475b52f9cdf2#rd,http://mmbiz.qpic.cn/mmbiz_jpg/gypEaBqfcibXQKwXoqBmiaOLWNJNpK4ibiawXeFdiaYr6FldRuag882SaE8EjRjmpan2BSzRQK9icJX2QBXSo3gCLEBw/0?wx_fmt=jpeg,不实信息##不实信息,0
23,科技犬,卓伟爆料！某女星同侍父子俩，网友脑洞大开，上演名侦探柯南！,http://mp.weixin.qq.com/s?__biz=MzIwNDMyNTk0Ng==&mid=2247490689&idx=4&sn=a3c50d8945cce78b610aed9be09b81cd&chksm=96c089d4a1b700c22e515df45c4da99c5db2b6498dc45223b0db09de189a1dc0d7433da468ff#rd,http://mmbiz.qpic.cn/mmbiz_jpg/M4RkZsDvOoGyCJ77DRrD2o4u67Z0WNblvFbDotWu9Ew8AicqH1hKY2XChntZEJlq2VTbU9m36OUdZicdDoRiatR5A/0?wx_fmt=jpeg,标题与内容严重不符,1
24,最新黑幕爆料,延迟退休时间表出来了！你怎么看...,http://mp.weixin.qq.com/s?__biz=MzU0MDQzOTA5NA==&mid=2247484658&idx=1&sn=95eda6738c61ae3a2de9e358343b8660&chksm=fb3863abcc4feabd13f2cd92eb415e3796d09d952b396b9896730d4f34389117e247964b904a#rd,http://mmbiz.qpic.cn/mmbiz_jpg/gvAiaMYN6ldcNgbVEhLK7eBTzVkYVibjkPoK6R0fNvhrMRlYIqGEFDMWE1bxLfZkD3OAYpxSOjQu6J1u7oXC2IRA/0?wx_fmt=jpeg,谣言,0
25,共享经济先锋,关于惩治大众创业万众创新害群之马的呼吁,http://mp.weixin.qq.com/s?__biz=MzI1MTczODY4OQ==&mid=2247484733&idx=2&sn=6154a8b0e6c0009e674c88fa324eae74&chksm=e9ef2a13de98a305e2d8360fcf102eb930d126dd9ee3990ca6cce33a3d1c61f51bf7f6c0fb64#rd,http://mmbiz.qpic.cn/mmbiz_jpg/1rRdEtLVERSsGfRt48eWiaHBjF6G9PiavYiaOVSAl9ibzU5sdXC25OJOP0W1JqFOiazEdUPiaqicKJiabNosjLNJxENX0A/0?wx_fmt=jpeg,这个公众号准备上一个传销平台。前期各种对“国家政策”进行宣传歪曲、误导民众、混淆视听！这篇文章更是痛骂“公安不应该打击传销”。希望提交线索给网警。##公安惩治传销，不是坑害百姓吧，是防止更多的老百姓上当！,0
26,明星娱乐新趣事,范冰冰涉嫌偷漏税过亿，或将判刑3-7年有期徒刑,http://mp.weixin.qq.com/s?__biz=MzUyMzUwMTg4OQ==&mid=2247488014&idx=7&sn=5e0e9782297fe91398b4456c6d1f7168&chksm=fa3afa20cd4d7336adb39920a32e444635674f0c989734052293adfb78505be481331dad60dd#rd,http://mmbiz.qpic.cn/mmbiz_jpg/TWKt34m1sCVXkoahyIgsMK0Zrht8bs8PPwtBJ9hIjz3vLcsiax1022s549WxL9y4kE9g7YKaACnibiclXnicicT5mjg/0?wx_fmt=jpeg,骗人的,1
27,晋城生活君,刚刚！泽州县委书记被免职....,http://mp.weixin.qq.com/s?__biz=MzI1MTA1MjgwOQ==&mid=2650693082&idx=2&sn=f0a2094f9ed246660d206a2655a1eb91&chksm=f1f22bbcc685a2aa5e399567f4929c9f43ee38a6de1bdaed096927902b679f6e24325a66f09d#rd,http://mmbiz.qpic.cn/mmbiz_jpg/hperY1t0ribIz2ic1GkAmsLOfmPavmuGiarh836p2lkVNHI1icia8flC1ngpcQzJHwh4zWBBoBdh5x8WRs8DxBAJ7IA/0?wx_fmt=jpeg,标题党,0
28,嘿星期八,别在危险的边缘试探噢,http://mp.weixin.qq.com/s?__biz=MzUzMjk0MzQyOA==&mid=2247483705&idx=1&sn=35e99cf577c11b3005babad747496e42&chksm=faaac612cddd4f04e261c55dac3fbc2bf83704ac0aef1578ce3c283706446347632b91f4d3f4#rd,http://mmbiz.qpic.cn/mmbiz_jpg/IrQdFP8BsWUlNmV6RTrGezdMo4qjiadelUUbXdH1OIpR9RaaGbkcmZibuuxb2uhiaicEyZiaFby2SKnfHyHhr4GY92Q/0?wx_fmt=jpeg,文中说潮州交通很乱，这点本地人不承认,0
29,看点奇葩,央视著名主持人，从4米高台摔下进行抢救，被医院折腾19天离世,http://mp.weixin.qq.com/s?__biz=MzU0NDU2NDQxNw==&mid=2247483992&idx=4&sn=682b3560a15f0ce332bde0739e9387f4&chksm=fb7b77f6cc0cfee0aa15aa72cd58eaa6f04ea9afe558ca078e3b97b6d87886e2e66fddff3ad2#rd,http://mmbiz.qpic.cn/mmbiz_jpg/fmv6TGiam2ImoEvTxAp7YCEq3tywa9xD1iaRP4T2h0XPBIUmpzuuiayPjzJWArvejKo2ufgv0vmS6TIwCqUrpAMUw/0?wx_fmt=jpeg,虚假新闻，整篇文章一个名字都没有，文章内写的当事人的图片是两个人,0
30,陀废论,这两个国家联手证明，走回头路是死路一条,http://mp.weixin.qq.com/s?__biz=MzU3MDY3ODIyMw==&mid=2247483705&idx=1&sn=8bc34b1785e09ba91e75e5f2dab34f9e&chksm=fcea8f99cb9d068f66bbc4ad10dd072a1fb62f9ef3e7250a1596ab1122306134c741c90985f7#rd,http://mmbiz.qpic.cn/mmbiz_jpg/qg4TMHtPe2ZfmLPluAcTbqd2wft0ia3T1G6XwvHY7oqTjYYqhInb463pN46Ru2qmX7E9ibyW3eia7OVRfKdAbsUfg/0?wx_fmt=jpeg,"不实信息##作者想说明什么……？ 作者想说明什么……？想说明世界上唯有美国才是""政治正确″吗？;;",0
